participant_id,item_id,trial,item_category,noise_db,predictability,rt_ms
P01,W01,1,concrete,36.21,0.457,439.8
P01,W02,2,concrete,52.97,0.215,700.9
P01,W03,3,concrete,76.85,0.497,747.3
P01,W04,4,concrete,54.72,0.747,549.7
P01,W05,5,concrete,63.98,0.239,573.2
P01,W06,6,concrete,53.7,0.45,681.0
P01,W07,7,concrete,63.58,0.517,379.1
P01,W08,8,concrete,53.69,0.467,632.6
P01,W09,9,concrete,46.46,0.424,472.4
P01,W10,10,concrete,73.64,0.804,636.9
P01,W11,11,concrete,55.02,0.569,401.1
P01,W12,12,concrete,74.34,0.88,654.9
P01,W13,13,abstract,36.62,0.817,799.9
P01,W14,14,abstract,33.58,0.417,353.8
P01,W15,15,abstract,34.61,0.546,
P01,W16,16,abstract,46.01,0.699,517.6
P01,W17,17,abstract,35.1,0.617,
P01,W18,18,abstract,62.89,0.387,557.1
P01,W19,19,abstract,75.83,0.267,699.8
P01,W20,20,abstract,65.12,0.386,596.4
P01,W21,21,abstract,45.93,0.662,549.2
P01,W22,22,abstract,44.38,0.695,569.7
P01,W23,23,abstract,66.56,0.875,628.2
P01,W24,24,abstract,44.47,0.282,613.8
P02,W01,1,concrete,44.82,0.553,776.7
P02,W02,2,concrete,34.98,0.05,495.9
P02,W03,3,concrete,74.59,0.313,589.0
P02,W04,4,concrete,46.17,0.354,717.7
P02,W05,5,concrete,65.9,0.071,728.0
P02,W06,6,concrete,46.39,0.417,698.4
P02,W07,7,concrete,45.37,0.471,574.4
P02,W08,8,concrete,56.26,0.922,521.5
P02,W09,9,concrete,35.16,0.355,609.4
P02,W10,10,concrete,75.45,0.187,437.5
P02,W11,11,concrete,35.09,0.49,381.1
P02,W12,12,concrete,43.84,0.516,683.7
P02,W13,13,abstract,65.2,0.261,566.9
P02,W14,14,abstract,75.75,0.159,775.5
P02,W15,15,abstract,55.09,0.497,851.3
P02,W16,16,abstract,64.25,0.578,854.6
P02,W17,17,abstract,55.26,0.361,851.5
P02,W18,18,abstract,64.86,0.434,569.9
P02,W19,19,abstract,55.33,0.693,551.8
P02,W20,20,abstract,36.65,0.335,454.9
P02,W21,21,abstract,55.09,0.427,553.3
P02,W22,22,abstract,35.29,0.2,605.8
P02,W23,23,abstract,73.55,0.237,707.2
P02,W24,24,abstract,66.25,,366.2
P03,W01,1,concrete,55.33,0.354,1375.5
P03,W02,2,concrete,36.37,0.82,805.2
P03,W03,3,concrete,34.7,0.249,608.3
P03,W04,4,concrete,34.11,0.423,482.6
P03,W05,5,concrete,76.7,0.333,1160.8
P03,W06,6,concrete,54.77,0.36,1262.1
P03,W07,7,concrete,75.75,0.734,976.9
P03,W08,8,concrete,63.85,0.107,1622.8
P03,W09,9,concrete,44.84,0.663,664.8
P03,W10,10,concrete,64.35,0.623,1047.3
P03,W11,11,concrete,54.87,0.918,696.0
P03,W12,12,concrete,46.33,0.317,1354.1
P03,W13,13,abstract,74.8,0.257,1378.0
P03,W14,14,abstract,47.09,0.542,770.0
P03,W15,15,abstract,75.99,0.885,797.1
P03,W16,16,abstract,35.71,0.476,558.1
P03,W17,17,abstract,44.04,0.421,841.0
P03,W18,18,abstract,63.56,0.781,1250.4
P03,W19,19,abstract,54.25,0.83,628.9
P03,W20,20,abstract,65.7,0.577,870.2
P03,W21,21,abstract,64.36,0.354,634.6
P03,W22,22,abstract,57.0,0.323,1193.9
P03,W23,23,abstract,33.32,0.812,749.5
P03,W24,24,abstract,46.35,0.735,667.1
P04,W01,1,concrete,37.34,0.415,836.8
P04,W02,2,concrete,46.44,0.501,721.3
P04,W03,3,concrete,74.85,0.737,676.1
P04,W04,4,concrete,75.88,0.506,949.0
P04,W05,5,concrete,56.38,0.861,
P04,W06,6,concrete,44.73,0.889,433.3
